"evaluation_group","repeat","fold","correlation_difference","rmse_difference","mae_difference"
"not_genotyped",3,4,0.0300688948440681,-0.0076286379759517,-0.00940059264116699
"not_genotyped",3,5,-0.0351802350357557,-0.0108728720146911,-0.00478650753976317
"not_genotyped",4,1,-0.00765562954896021,0.00321880405806996,-0.00345338847548471
"not_genotyped",4,2,0.104875099032387,-0.0636163317288059,-0.035363623454409
"not_genotyped",4,3,0.0464424135419951,-0.021443211347531,-0.0297001009768594
"not_genotyped",4,4,-0.00485915460429454,-0.0042105555705918,0.000351410388763629
"not_genotyped",4,5,0.0727843582239228,-0.0290549446389134,-0.0308863619386879
"not_genotyped",5,1,0.0360022638310154,-0.0126020579197121,-0.00660564571208311
"not_genotyped",5,2,0.0369205850024575,-0.0173749634307615,-0.00213436235087749
"not_genotyped",5,3,0.106625837433461,-0.0517871734899202,-0.0554783766443653
"not_genotyped",5,4,0.000774361376488952,-0.00482139432088102,-0.0160375586221068
"not_genotyped",5,5,-0.0223827697670013,0.00299629453037709,0.0146727020963791
